"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Longfin Fathead, Bigeye cigarfish"|820||"fish"||"shelf;slope;"|"mesopelagic"||"58;1000"||"salps"|||20||4||"Comes to the surface at night."|||"XXXXX"
"Cubiceps"|531||"fish"|||||||||||||||||"XXXXX"
"Man-Of-War Fish"|788||"fish"|||||||||||||||||"XXXXX"
"Silver Driftfish"|789||"fish"||"oceanic"|"pelagic"||"0;300"|"temperate"||||30||||"Juveniles swim among jellyfish tentacles"|||"XXXXX"
"Psenes Pellucidus"|822||"fish"||"slope;oceanic"|"bathypelagic"|"assoc. with jellyfish and floating weeds. Some large adults may be benthic (on slopes)."|"?;1000"||"zooplanktivore/piscivore:zooplankton;small pelagic fishes"|||80|||||||"XXXXX"
"Driftfishes"|821||"fish"|||||||||||||||||"XXXXX"
"Banded Gunnel"|633||"fish"|||"demersal"|"entirely subtidal"|"0;94"|"polar"||||30|||||||"XXXXX"
"Rock Gunnel"|621||"fish"||"inshore"|"demersal"|"Descends to 100m in winter"|"0;100"|"polar"|"benthivore:small crustaceans;polychaetes;molluscs;fish eggs"|||25|||"80;200"|"May remain out of water under seaweed - breaths air when out of water."|||"XXXXX"
"Atlantic Wreckfish"|699||"fish"|"wreckfishes"||"bathydemersal"|"caves;shipwrecks"|"40;600"||"benthivore/piscivore:large crustaceans;cephalopods;benthic fishes"|||210|100|||"Solitary"|||"XXXXX"
"Holocanthus"|380||"fish"|"angelfishes"||||||||||||||||"XXXXX"
"Sergeant Major"|54|"no"|"fish"|"damselfishes"|"shelf"||"reefs;tidepools"|"1;15"||"algae;small crustaceans;fish;invertebrate larvae"|||22.9|0.2|||"Adults form large feeding aggregations.  Juveniles graze algae and pick molted skin/parasites from green turtles.  Not typically north of Rhode Island"|||"XXXXX"
"Grunts (Grunters)"|263||"fish"|||||||||||||||||"XXXXX"
