"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Bluefish"|81||"fish"||"inshore"|"pelagic"|||"temperate"|"piscivore:"|1|35|100|14|12||"Fished recreationally"|||"XXXXX"
"Bulleye"|78||"fish"|"bigeyes"||||||||||||||||"XXXXX"
"Atlantic Bigeye"|353||"fish"|"bigeyes"|||"coral reefs;rocky bottom"|"10;200"|"subtropical"|"benthivore/piscivore:small fishes;crustaceans;polychaetes "|||50|2.85||||||"XXXXX"
"Glasseye Snapper"|79||"fish"|"bigeyes"|||"reefs;lagoons;near islands;"|"3;300"|"subtropical"|"benthivore/piscivore:octopi;pelagic shrimp;stomatopods;crabs;small fish;polychaetes "|||50.7|2.725|||"Solitary"|||"XXXXX"
"Bigeyes"|352||"fish"|"bigeyes"||||||||||||||||"XXXXX"
"Cobia"|803||"fish"|"cobias"||||||||||||||||"XXXXX"
"Parrotfish"|197||"fish"|"parrotfishes"||||||||||||||||"XXXXX"
"Spotted Weakfish"|271||"fish"|||||||||||||||||"XXXXX"
"Weakfish"|103||"fish"|"drums/croakers"||||||||||||||||"XXXXX"
"Spot Croaker"|270||"fish"|"drums/croakers"||||||||||||||||"XXXXX"
"Northern Kingfish"|7||"fish"|"drums/croakers"||||||||||||||||"XXXXX"
"Atlantic Croaker"|258||"fish"|"drums/croakers"||||||||||||||||"XXXXX"
"Black Drum"|104|"no"|"fish"|"drums/croakers"||"demersal"|"sand;mud;estuaries;near rivers"|"10;?"|"subtropical;tropical"|"benthivore:crustaceans;molluscs;fishes"|||170|51.3|43|||||"XXXXX"
"Red Drum"|267||"fish"|"drums/croakers"|"inshore"|"demersal"|"sand;mud;coastal;estuaries;surf"|"10;?"|"subtropical"|"benthivore/piscivore:crustaceans;mollusks;fishes"|||155|45|50|||||"XXXXX"
"Wahoo"|830||"fish"|"mackerals"||||||||||||||||"XXXXX"
"Frigate Mackerel"|187|"no"|"fish"|"mackerals"||"pelagic"||||||||||||||"XXXXX"
"False Albacore, Little Tunny, Atlantic Black Skipjack"|173|"no"|"fish"|"mackerals"|"inshore"|"pelagic"|"reef;shoals;offshore islands;swift currents"||"warm;tropical"|"piscivore"|||122|16.5|10||"Schooling. Known locality off PEI"|||"XXXXX"
"Striped Bonito/Skipjack Tuna"|172||"fish"|"mackerals"|"inshore;oceanic"|"pelagic"|"above the thermocline"||"tropical;subtropical"|"piscivore:fish;crustaceans;molluscs"|||||||"aka Katsuwonus pelamis. Rare in Atlantic Canada"|||"XXXXX"
"Atlantic Bonito"|188|"no"|"fish"|"mackerals"|"inshore"|"pelagic"|"Atlantic Ocean"|||||||||||||"XXXXX"
"Chub Mackerel"|170|"no"|"fish"|"mackerals"|"inshore;shelf;slope"|"pelagic"|"pelagic:diurnal vertical migrations"|"0;300"|"10;27"|"zooplanktivore/piscivore:copepods;crustaceans;fishes;squids "|||64|2.9|18|||||"XXXXX"
"Atlantic Mackerel"|70|"yes"|"fish"|"mackerals"|"inshore;shelf"|"pelagic"|"migratory"|"0;1000"|"9;12 preferred. 7+"|"zooplanktivore/piscivore"|1.9|"26(males);25.7(females)"|60|3|17|"240,000;1,160,000"|"diurnal. schooling"|||"XXXXX"
"King Mackerel"|189||"fish"|"mackerals"|"inshore"|"pelagic"|"western Atlantic"||"temperate;tropical"||||173|45|||"Uncommon off NS"|||"XXXXX"
"Atlantic Spanish Mackerel"|171|"no"|"fish"|"mackerals"||"pelagic"|"western North Atlantic"||"temperate;subtropical"||||77|4.8||||||"XXXXX"
"Albacore Tuna"|190||"fish"|"mackerals"|"oceanic"|"pelagic"|||"13.5;25.2"|||||36||||||"XXXXX"
"Yellowfin Tuna"|191|"yes"|"fish"|"mackerals"|"shelf edge"|"pelagic"||"1;200"|"18;31"|"piscivore: fish;crustaceans;squid"|||208|176.35|8|200,000|"Sensitive to low concentrations of oxygen"|||"XXXXX"
"Blackfin Tuna"|846||"fish"|"mackerals"||"pelagic"||||||||||||||"XXXXX"
"Bigeye Tuna"|192|"yes"|"fish"|"mackerals"|"oceanic"|"pelagic"|||||||183|197.3||||||"XXXXX"
"(Atlantic) Bluefin Tuna"|71|"yes"|"fish"|"mackerals"|"inshore;shelf;oceanic"|"pelagic"||"0;914"|"~7,  14"|"piscivore:herring;capelin;mackerel;squid;red crab"|||458|684|38|"1,000,000;60,000,000"|"Oceanic, but comes inshore seasonally. Maintain temperature 10-15 degrees above water temp."|||"XXXXX"
"True Tunas"|321||"fish"|"mackerals"||||||||||||||||"XXXXX"
"Scombrolabrax heterolepis"|926||"fish"|"mackeral-like "||||||||||||||||"XXXXX"
"Yellowfin Bass"|498||"fish"|"Sea Bass"|"shelf"|"benthopelagic"|||"subtropical"||||25||||"Sometimes strays north of New Jersey"|||"XXXXX"
"Anthias"|668||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Southern (Black) Sea Bass"|121||"fish"|"Sea Bass"|||"reefs;rock;rock jetties;oyster beds;wrecks;shallow"|"1;?"|"temperate"|"benthivore/piscivore/herbivore:crustaceans;molluscs;echinoderms;fish;plants"|2|"19(males);19.1(females)"|66|4.3|15||"Occasionally caught in Bay of Fundy"|||"XXXXX"
"Sand Perch"|695||"fish"|"Sea Bass"|||"reefs;bays;coastal grassy areas;shallow banks"|"1;80"|"subtropical"||||30||||"Solitary. Hermaphroditic"|||"XXXXX"
"Diplectrum"|663||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Red Grouper"|879||"fish"|"Sea Bass"||"demersal"|"rock;mud"|"5;330"|"subtropical"|"piscivore/?:fish;invertebrates"|||125|23|25||"Hermaphrodite. Rests on the bottom"|||"XXXXX"
"Snowy Grouper"|698||"fish"|"Sea Bass"|"shelf;oceanic (juveniles can be inshore)"|"demersal"|"rock"|"30;525"|"subtropical"|"piscivore/benthivore:fish;gastropods;cephalopods; brachyuran crustaceans"|||122|30|27||"Uncommon in NS"|||"XXXXX"
"Epinephelus"|899||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Gonioplectrus"|989||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Red Barbier"|661||"fish"|"Sea Bass"||"benthopelagic"||"45;610"|"tropical"||||25||||"Larvae sometimes stray to Atlantic Canada"|||"XXXXX"
"Hemanthias"|374||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Roughtongue Bass"|828||"fish"|"Sea Bass"||"demersal"||"65;230"|"tropical"||||20|||||||"XXXXX"
"Sea Basses/Brazillian Groupers"|664||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Rypticus"|873||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Serranus"|516||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Groupers, Sea Basses"|715||"fish"|"Sea Bass"||||||||||||||||"XXXXX"
"Sheepshead"|99||"fish"|"Porgies"|||"reef associated;bays;estuaries;marine;brackish;fresh;pilings"|"15;?"|"subtropical"|"benthivore:molluscs;crustaceans"|||91|9.63|||"sometimes strays to NS"|||"XXXXX"
"Red Porgy, Common Seabream"|268||"fish"|"Porgies"|"shelf"|"benthopelagic"|"rock;rubble;sand"|"0;250"|"subtropical"|"?/piscivore:crustaceans;fish;molluscs"|||91|7.72||||||"XXXXX"
"Scup"|102||"fish"|"Porgies"|"inshore (summer) offshore (winter)"|"demersal"||"15;180"|"subtropical"|"benthivore:amphipods;worms;sand dollars;young squid"|2|15.5|46|2.06|20|||||"XXXXX"
"Porgies"|326||"fish"|"Porgies"||||||||||||||||"XXXXX"
"Northern Sennet"|46||"fish"|"Barracudas"|||"reef associated"||"subtropical"||||46|||||||"XXXXX"
"Stout Eelblenny"|632||"fish"|||"demersal"|"mud"|"10;300"|"prefer below 0"|"benthivore:small invertebrates"|||30||||"Anisarchus medius. Prefer salinities above 30ppt."||"Former Genus name: Lumpenus"|"XXXXX"
"Yarrell's Blenny"|629||"fish"|||||||||||||||||"XXXXX"
"4-Line Snake Blenny"|626||"fish"|||||||||||||||||"XXXXX"
"Slender Eelblenny"|631||"fish"|||"benthopelagic"|"sand;rock;sea grasses;algae. Rarely, if ever, in intertidal zone"|"0;235"|"polar"||||36||||"NS is the southern range in W. Atlantic."|||"XXXXX"
"Snake Blenny"|622|"no"|"fish"|||"demersal"|"mud"|"30;200"|"temperate"|"benthivore:small crustaceans;molluscs;brittle stars;worms "|||50|||1,000|"Lives in Y shaped tube."|||"XXXXX"
"Daubed Shanny"|623||"fish"|||"demersal"|"sand;mud;pebble. Usually above 170m"|"2;475"|"polar"|"benthivore:polycheates;crustaceans"|||20|||||||"XXXXX"
"Blennies"|946||"fish"||||||||||||||"Also known as shanny or prickleback"|||"XXXXX"
"Arctic Shanny"|624||"fish"|||"demersal"|"rock;sand;subtidal"|"0;100"|"polar"||||22|||||||"XXXXX"
"Radiated Shanny"|625||"fish"|||"benthopelagic"|"algae;rocky shores;hard bottom "|"55;?"|"temperate"||||18|||||||"XXXXX"
"Pricklebacks"|639||"fish"|||||||||||||||||"XXXXX"
"Butterfish"|701|"no"|"fish"||"inshore"|"benthopelagic"|"sand;marine;brackish;estuaries;"|"15;?"|"subtropical"|"piscivore/?:jellyfish;small fish;squid;sea squirts;molluscs;crustaceans"|0.9|"11.4(males);12(females)"|30|0.5|3||"Juveniles associate with jellyfish to avoid predators"|||"XXXXX"
"Symphysanodon"|381||"fish"|||||||||||||||||"XXXXX"
"Bigeye Squaretail"|790|"no"|"fish"||"oceanic"|"pelagic"||"0;800"|"subtropical"|"soft-bodied medusae;ctenophores;salps;plankton"|||50||||"Occasionally comes close to shore"|||"XXXXX"
"Smalleye Squaretail"|791||"fish"||"oceanic"|"pelagic"|"near surface usually"|"?;800"||"jellyfishes;salps;soft-bodied coelenterates;ctenophores;plankton"|||70|||||||"XXXXX"
"Black Scabbardfish"|784||"fish"|"ribbonfishes"||||||||||||||||"XXXXX"
"Frostfish"|714||"fish"|"ribbonfishes"|"slope"|"bathydemersal"||"200;900"|||||130|||||||"XXXXX"
"Benthodesmus Tenuis"|824||"fish"|"ribbonfishes"||||||||||||||||"XXXXX"
"Frostfishes"|528||"fish"|"ribbonfishes"||||||||||||||||"XXXXX"
"Evoxymetopon Taeniatus"|938||"fish"|"ribbonfishes"||||||||||||||||"XXXXX"
"Cutlassfishes"|689||"fish"|"ribbonfishes"||||||||||||||||"XXXXX"
"Swordfish"|72|"yes"|"fish"|"Swordfish"|"shelf;oceanic"|"pelagic"|"pelagic:diurnal vertical migrations"|"0;1000"||"piscivore:mackerel;silver hake;redfish;herring;squid"||||536.15|||"Preyed on by sharks, humans"|||"XXXXX"
"Fish Doctor"|616||"fish"|"Eelpout"|"inshore"||"mud;sand;brown kelp"|"2;256"|" -1.9;4"|"benthivore:amphipods;polychaetes;bivalves;mysids"|||25.6|||"31;106????"|"Preyed on by gulls, murres, seals, cod, and wolffish"|||"XXXXX"
"Common Wolf Eel"|617||"fish"|"Eelpout"||"bathydemersal"|"mud;sand"|"46;1097"|||||17.5|||||||"XXXXX"
"Sars Wolf Eel"|618||"fish"|"Eelpout"||"bathydemersal"|"mud"|"150;600"||"benthivore:polychaetes;crustaceans;bivalves"|||20|||||||"XXXXX"
"Wolf Eelpout"|603||"fish"|"Eelpout"|"shelf"|"demersal"||"46;1097"||||||||||||"XXXXX"
"Lycodes Atlanticus"|864||"fish"|"Eelpout"||"bathydemersal"||"63;1920"|||||||||"This is actually L. terraenovae (code 619)"|3||"XXXXX"
"Vachon's Eelpout"|643||"fish"|"Eelpout"|"shelf"|"bathydemersal"|"mud"|"251;350 (optimal) 151;500"|" -0.4;5. Optimal: 2.6;3.5"|"benthivore:ophiuroids"|||75|||||||"XXXXX"
"Eelpout"|845||"fish"|"Eelpout"||"demersal"|"polar"|"25;464"||"benthivore"|||44.5||||"Smaller individuals eat endobenthic prey.  Larger ones eat epibenthic prey."|||"XXXXX"
"Laval's Eelpout, Newfoundland Eelpout"|620||"fish"|"Eelpout"||"demersal"|"mud;sand"|"57;535"|" -1.2;2.52"||||56|||||||"XXXXX"
"Pale Eelpout"|627||"fish"|"Eelpout"||"demersal"|"mud.  polar"|"60;980"|"  -1;0"|"benthivore:bivalves;polychaetes;crustaceans;detritus"|||26||||"burrows into the mud for food."|||"XXXXX"
"Polar Eelpout"|628||"fish"|"Eelpout"|"inshore"|"demersal"|"mud"|"88;190, 5;236"||"benthivore:amphipods;small benthic invertebrates"|||25||||"burrows into the mud tail first"|||"XXXXX"
"Arctic Eelpout"|641||"fish"|"Eelpout"||"bathydemersal"|"soft bottoms.  arctic and subarctic"|"100;380"|" -0.9;3.5"|"benthivore/zooplanktivore/piscivore:amphipods;isopods;bivalves;shrimp;euphausiids"|||36|||||||"XXXXX"
"Eelpout"|619||"fish"|"Eelpout"||"demersal"||"630;1920"|||||45.2|||||||"XXXXX"
"Shorttailed Eelpout(Vahl)"|647||"fish"|"Eelpout"||"benthic"||"201;600.  65;540"|"2;4.5. 0;5"|"benthivore/zooplanktivore:shrimps;euphausiids"|||52||||"Preyed on by Greenland sharks. Deposits eggs on ocean floor."|||"XXXXX"
"Eelpouts(NS)"|642||"fish"|"Eelpout"||||||||||||||||"XXXXX"
"Ocean Pout (Common)"|640||"fish"||"inshore;shelf"|"demersal"|"sand;mud"|"0;183, prefer 55;108"|"0;16.7, prefers 6;9"|"benthivore:crabs;hermit crabs;sea urchins;worms;clams;sea snails;sea stars"||"30.3(males);26.2(females)"|110|5.436|||"Zoarces americanus. Prefers salinity 32;34ppt"|||"XXXXX"
"Atlantic Soft Pout"|646||"fish"|||||||||||||||||"XXXXX"
"Eelpouts"|598||"fish"|"Eelpout"||||||||||||||||"XXXXX"
"Labroidei"|199||"fish"|||||||||||||||||"XXXXX"
"Perchlike Fishes"|636||"fish"|||||||||||||||||"XXXXX"
"Blennies"|644||"fish"|||||||||||||||||"XXXXX"
"Eyed Flounder"|45|"no"|"fish"|"Flatfish"|"inshore"|"benthic"|"benthic:sand;near reefs;coral rubble;seagrass"|"1;110"|"tropical"|"benthivore/piscivore:crustaceans;crabs;shrimp;amphipods;fish"|||18||||"Transparent"|||"XXXXX"
"Bothus"|8||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Spiny Flounder"|325|"no"|"fish"|"Flatfish"||"demersal"||"35;180"|"tropical"|||||||||||"XXXXX"
"Slim Flounder"|324|"no"|"fish"|"Flatfish"||"demersal"|||"subtropical"||||11.8||||"Larvae stray to Canada."|||"XXXXX"
"Deepwater Flounder"|385|"no"|"fish"|"Flatfish"||"bathydemersal"|"soft bottom"|"150;550"|||||18||||"Larvae stray to Canada"|||"XXXXX"
"Monolene"|382||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Trichopsetta Orbisulcus"|333|"no"|"fish"|"Flatfish"||||"~119;132"||||||||||||"XXXXX"
"Trichopsetta sp."|277||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Lefteye Flounder"|196||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Daubed Tonguefish, Spottedfin Tonguefish"|816|"no"|"fish"|"Flatfish"|"slope"||"mud;reef associated"|"6;183"|"subtropical"|"benthivore:crabs;polychaetes"|||22|||||||"XXXXX"
"Largescale Tonguefish"|693|"no"|"fish"|"Flatfish"|"inshore"|"demersal"|"live bottom habitats"|"18;170"|"subtropical"||||9||||"Larvae may stray to Canada."|||"XXXXX"
"Tonguefish"|805||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Gulf Stream Flounder"|44|"yes"|"fish"|"Flatfish"|"shelf"|"demersal"|"moderate hard"|"46;366 occasionally to 22m"|"8;11"|"benthivore: zoobenthos, worms, polychaetes, amphipods, echinoderms, mollusks"|||18||||||"http://fishbase.org/summary/speciessummary.php?id=4209"|"XXXXX"
"Horned Whiff"|387|"no"|"fish"|"Flatfish"|"inshore"|||"27.4;365.8, usually below 137.2"|||||10||||"Larvae may stray to Canada."|||"XXXXX"
"Citharichthys Gymnorhinus"|388|"no"|"fish"|"Flatfish"||"demersal"||"35;200, generally 37;91"|"tropical"||||7.5||||"Larvae may stray to Canada."|||"XXXXX"
"Spotfin Flounder"|345|"no"|"fish"|"Flatfish"|||"soft bottom; reef associated"|"20;230"|"subtropical"||||33||||"Larvae may stray to Canada."|||"XXXXX"
"Cyclopsetta"|379||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Channel Flounder"|282||"fish"|"Flatfish"|"shelf"|"benthopelagic"|"soft bottom"|"25;400"|"tropical"|"benthivore:worms;crustaceans"|||40|0.5||||||"XXXXX"
"Channel Flounder"|198||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Summer Flounder"|141|"no"|"fish"|"Flatfish"|"inshore;shelf"|"demersal"|"sand;bays;estuaries;offshore"|"10;182.9"|"temperate"||"1(males);1.5(females)"|"24.9(males);28(females)"|94|12|20||"Rarely in Canada."|||"XXXXX"
"Fourspot Flounder"|142|"yes"|"fish"|"Flatfish"|"inshore;shelf"|"demersal"||"27.4;274.3"|"temperate"||||40.6|||||||"XXXXX"
"Fringed Flounder"|344|"no"|"fish"|"Flatfish"|"inshore"|"demersal"|"sand;mud"|"0;65"|"subtropical"|"benthivore/piscivore:big benthic invertebrates;small fish"|||20||1||"Larvae may stray to Canada."|||"XXXXX"
"Smallmouth Flounder"|386|"no"|"fish"|"Flatfish"||"demersal"||"?;91.4"|"subtropical"||||13||||"Larvae may stray to Canada."|||"XXXXX"
"Witch Flounder"|41|"yes"|"fish"|"Flatfish"|"inshore;shelf;slope"|"demersal"|"mud;sand"|"45;1460"|"2;6"|"benthivore/piscivore:polychaetes;amphipods;small fish;molluscs;brittle stars"|"3.6(males);4.4(females)"|"25.3(males);30.4(females)"|78|2.5|28|"200,000;450,000"||||"XXXXX"
"American Plaice"|40|"yes"|"fish"|"Flatfish"|"inshore;shelf"|"demersal"|"sand;mud"|"prefer 73;274, can be 36;713"|" -0.5;2.5"|"benthivore/piscivore:polychaetes;echinoderms;molluscs;crustaceans;fish"|"3(males);3.6(females)"|"22.1(males);26.8(females)"|81.2|6.3|30|"250,000;1,500,000"||||"XXXXX"
"Atlantic Halibut"|30|"yes"|"fish"|"Flatfish"|"inshore;shelf"|"benthic, occasionally pelagic"|"benthic: mud, sand, gravel"|"165;229.  shallow in summer, deep in winter."|"3;9"|"piscivore/benthivore:cod;haddock;sandlance;herring;capelin;invertebrates"|"8(male),11(female)"|"40;100"|407|320|50|"4,000,000;7,000,000"|"Slow growth rate and late onset of sexual maturity, halibut populations can be seriously affected by overfishing"||"http://www.sf.adfg.state.ak.us/statewide/halibut/index.cfm/FA/main.lifeCycle; http://en.wikipedia.org/wiki/Atlantic_halibut;http://www.dfo-mpo.gc.ca/science/publications/uww-msm/articles/atlantichalibut-fletanatlantique-eng.html"|"XXXXX"
"Yellowtail Flounder"|42|"yes"|"fish"|"Flatfish"|"shelf"|"demersal"|"sand;mud, shallow water banks"|"27;364. More common in 36;82.  shallow in summer, deeper in winter."|"2;6"|"benthivore:polychaetes;amphipods;cumaceans. Occassionally herring;sandlance."|"2.1(males);2.2(females)"|"22.3(males);28.1(females)"|64|1.5|12|"350,000;4,570,000"|"Preferred salinity 32;33ppt"|||"XXXXX"
"Smooth Flounder"|140|"no"|"fish"|"Flatfish"|"inshore"|"demersal"|"mud;silt"||"temperate"|"benthivore:marine worms;amphipods;molluscs;shrimps;crabs"|||32.3||||||"genus name change from: Liopsetta"|"XXXXX"
"Poecilopsetta"|568||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Winter Flounder"|43|"yes"|"fish"|"Flatfish"|"inshore;shelf"|"demersal"|"soft;mud;moderate hard"|"1.8;36.6 (but up to 143m). shallow in summer, deep in winter in NS."|"temperate"|"benthivore:shrimps;amphipods;crabs;sea urchins;snails "|"3.3(males);3.4(females)"|"27.6(males);29.7(females)"|64|3.6|14|"435,000;3,329,000"|"directed fishery"|||"XXXXX"
"Turbot, Greenland Halibut"|31|"yes"|"fish"|"Flatfish"|"inshore;shelf"|"benthopelagic"|"benthic: sand, gravel"|"90;1600"|"  -0.5;6"|"piscivore:capelin;Atlantic Cod;polar cod;sandlance;Pandalus borealis;squid"|3|46|120|45|30|"30,000;5,000,000"|"Can live in brackish water."||"http://www.aller-aqua.com/cms/front_content.php?changelang=3&idcat=191&evtYear=2010&evtMonth=5, http://aquanic.org/species/marine-fish/documents/turbot.pdf"|"XXXXX"
"Flounders"|49|"yes"|"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Brill/Windowpane"|143|"yes"|"fish"|"Flatfish"|"inshore"|"demersal"|"sand;estuaries"|"0;73"|"temperate"|"benthivore/piscivore:mysids;fish;shrimp"|3|"22.2(males);22.5(females)"|45.7||7|||||"XXXXX"
"Flatfish"|346||"fish"|"Flatfish"||||||||||||||||"XXXXX"
"Atlantic Sea Poacher"|350||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Alligatorfish"|340||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Arctic Alligatorfish"|341||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Alligator Fish"|351||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Atlantic Hookear Sculpin"|880|"no"|"fish"|"scorpionfish/sculpins"|"inshore;shelf"|"demersal"|"sand;mud"|"35;384.  Up to 795 off Greenland"|" -2;4"|"benthic:polychaetes;molluscs"|||15|||"50;350"||||"XXXXX"
"Arctic Hookear Sculpin"|306|"no"|"fish"|"scorpionfish/sculpins"|"inshore;shelf"|"demersal"|"variable"|"13;183 preferred.  13;350"|||||10||||"One of the smallest sculpins"|||"XXXXX"
"Hookear Sculpin"|323||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||||"XXXXX"
"Polar Sculpin"|307|"no"|"fish"|"scorpionfish/sculpins"||"bathydemersal"||"201;896 around here   165;1000"|"1.3;4"|"benthivore:polychaetes;amphipods;crustaceans"|||30|||"100;200"|"Salinity:roughly 35.4;35 ppt"|||"XXXXX"
"Pallid Sculpin"|308||"fish"|"scorpionfish/sculpins"||"bathydemersal"|"sand;ooze"|"182;1462"|"3.12;4.4"|"benthivore:small invertebrates"|||35|||||||"XXXXX"
"Arctic Staghorn Sculpin"|302||"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"rock;sand.  Circumpolar."|"1.8;174:   0;240"|" -1.8;5"|"benthivore/piscivore:Ammodytes;amphipods;polychaetes"|||30|||3,000|"Salinity:32;35 ppt"|||"XXXXX"
"Twohorn Sculpin"|313|"no"|"fish"|"scorpionfish/sculpins"||"demersal"|"variable.  polar"|"40;180 generally. 1;560 overall"|" -1.7;10"|"benthivore:polychaetes;amphipods"|||"15.7 (6.5 in Canada)"|||"150;1000"||||"XXXXX"
"Spatulate Sculpin"|314|"no"|"fish"|"scorpionfish/sculpins"|"inshore;shelf"|"demersal"|"sand;mud (with stones)"|"12;365"|" -1.85;-1"|"benthivore:Pandalus spp.;amphipods;polychaetes;molluscs"|||"8.5 in Canada.  21"|0.16|7|"1100;1300"|"Salinity:24.7-34.2 ppt"|||"XXXXX"
"Sculpin (genus Icelus)"|318||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||||"XXXXX"
"Grubby(Little)"|303|"no  (too small for bait)"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"variable"|"?;130"|"0;21"|"benthivore/piscivore:shrimp;crabs;copepods;snails;molluscs;sea squirts;urchins;young fish (alewives;cunner;eel;sand lance;mummichog;silversides;sticklebacks;tomcod)"|||18|||||1||"XXXXX"
"Longhorn Sculpin"|300|"yes"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"||"?;127 (prefer 53;90 on Scotian Shelf)"|"0.5;19"|"benthivore/piscivore:crabs;shrimp;molluscs;squid;sea squirts;small fish(herring;mackerel;sand lance;silversides)"|||45.7||11|8,000|"Move to deeper water in winter. Preyed on by cormorants;humans"|||"XXXXX"
"Fourhorn Sculpin"|315|"no"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"||"1;100, especially 10;20"|"Circumpolar"|"benthivore/piscivore:crustaceans;molluscs;small fish (Baltic Sea)"|||60|0.26|14||"Doesn't come south of Labrador"|||"XXXXX"
"Arctic Sculpin"|316||"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"rock;algae.  Intertidal or slightly below."|"0;40"||"benthivore:amphipod"|||22|||||||"XXXXX"
"Shorthorn Sculpin"|301|"yes (for bait)"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"rock;gravel;mud"|"0;110    0;37 (Atlantic Canada)"||"benthivore/piscivore: herring;gobies;crustaceans;urchins"|5|"30;35"|90||15|"2,000;61,000"||1||"XXXXX"
"Sculpin (genus Myoxocephalus)"|310||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||||"XXXXX"
"Mailed Sculpin"|304|"no (too small for bait)"|"fish"|"scorpionfish/sculpins"||"demersal"||"18;110 preferred. 10;320"|"0;12"|"benthivore:amphipods;mysids;polychaetes;crustaceans"|||20|||"2,000;3,000"||1||"XXXXX"
"Nybelin's Sculpin (Bigeye Sculpin)"|305||"fish"|"scorpionfish/sculpins"||"demersal"||"135;930 (prefer 200;600)"||||||||||||"XXXXX"
"Ribbed Sculpin"|317|"no"|"fish"|"scorpionfish/sculpins"||"demersal"|"mud with some rocks"|"10;100 preferred.  5;745"|"temperate;cold"|"zooplanktivore:amphipods;mysids.  Rarely polychaetes and fish"|||20||5|400||||"XXXXX"
"Sculpin (genus Triglops)"|309||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||||"XXXXX"
"Sculpin family"|311||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||2||"XXXXX"
"Sculpin family"|312||"fish"|"scorpionfish/sculpins"||"demersal"||||||||||||2||"XXXXX"
"Lumpfish"|501|"yes"|"fish"|"scorpionfish/sculpins"|"inshore"|"benthopelagic"|"rock;stone"|"?;400"|"temperate;cold"|"planktivore/piscivore:euphausiids;pelagic amphipods;copepods;small fish;pieces of jellyfish and comb jellies"|||60|9.5||100,000|"Adheres to surfaces with pelvic adhesive disc. Preyed on by seals, sperm whales, and Greenland sharks. Solitary."|||"XXXXX"
"Leatherfin Lumpsucker"|509|"no"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"mud;gravel;stone"|"54;150"|"  -2;0"||||10|||||||"XXXXX"
"Atlantic Spiny Lumpsucker"|502|"no"|"fish"|"scorpionfish/sculpins"|"inshore"|"demersal"|"mud;gravel;rock;stone"|"5;82"|"  -1.4;3"|"amphipods"|||13|||||||"XXXXX"
"Lumpfishes ( Families: Cyclopteridae/Liparidae)"|514||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Flying Gurnard"|806||"fish"|"scorpionfish/sculpins"||||||||||||||||"XXXXX"
"Sea Raven"|320|"yes (bait)"|"fish"|"scorpionfish/sculpins"|"inshore;shelf"|"demersal"|"rock;hard bottom"|"2;108"|"6;9,  ?;15.6"|"benthivore/piscivore:crustaceans;molluscs;herring;sand lance;silver hake"|||64|3.2||"15,000;40;000"|"Salinity:32;33ppt"|1||"XXXXX"
"Longfin Seasnail"|507||"fish"|"scorpionfish/sculpins"||"bathydemersal"||"?;1322"|||||22.1|||||||"XXXXX"
"Sea Tadpole; Scotian Snailfish"|924||"fish"|"scorpionfish/sculpins"||||"20;668"|"temperate"||||8.1||||||"Species name changed fro: Ranulus"|"XXXXX"
